time,seconds_elapsed,x,y,z
1146143391835,0.037202041,0.0010652645,0.013848438,0.03834952
1146163410993,0.057221199,0.0010652645,0.013848438,0.03834952
1146183460669,0.077270875,0.0010652645,0.013848438,0.03834952
1146203479828,0.097290034,0.0010652645,0.013848438,0.03834952
1146223529504,0.11733971,0.08628642,-0.04474111,-0.036218993
1146243579180,0.137389386,0.10013486,-0.010120012,-0.0314253
1146263598338,0.157408544,0.09640643,-0.034088463,-0.055926383
1146283648014,0.17745822,0.0777643,-0.05273059,-0.0793622
1146303667173,0.197477379,0.0628506,-0.033023197,-0.06924219
1146323716849,0.217527055,0.049534798,-0.05965481,-0.051132694
1146343766525,0.237576731,0.0127831735,-0.11451593,-0.0644485
1146363785683,0.257595889,0.0063915867,-0.14487597,-0.080960095
1146383835359,0.277645565,0.020772656,-0.1667139,-0.09427591
1146403854518,0.297664724,0.037284255,-0.11824436,-0.084155895
1146423904194,0.3177144,0.048469532,-0.061252706,-0.09534117
1146443923352,0.337733558,0.049002163,-0.09267801,-0.08841695
1146463973028,0.357783234,-0.011717909,-0.13741912,-0.07137272
1146483992187,0.377802393,-0.11717909,-0.11025487,-0.080960095
1146504041863,0.397852069,-0.15020229,-0.096939065,-0.08948222
1146524091539,0.417901745,-0.12676647,-0.11771172,-0.094808534
1146544141215,0.437951421,-0.14434333,-0.15659387,-0.08948222
1146564190891,0.458001097,-0.1486044,-0.1272991,-0.0628506
1146584301601,0.478111807,-0.098004326,-0.082025364,-0.033023197
1146604320759,0.498130965,-0.051665325,-0.05486112,-0.028229509
1146624370435,0.518180641,-0.019707393,-0.032490566,-0.035153728
1146644389594,0.5381998,-5.326322E-4,0.013848438,-0.046339005
1146664408752,0.558218958,0.03195793,0.07243799,-0.05006743
1146684458428,0.578268634,0.08575379,0.12783173,-0.03834952
1146704508104,0.59831831,0.14594123,0.14168017,-0.03568636
1146724527263,0.618337469,0.17044231,0.11611383,-0.046339005
1146744546421,0.638356627,0.11345066,0.044208474,-0.05752428
1146764596097,0.658406303,0.056991648,0.015978966,-0.05486112
1146784615256,0.678425462,0.058056913,0.017044231,-0.015446335
1146804664932,0.698475138,0.082025364,0.0010652645,0.0031957934
1146824714608,0.718524814,0.094808534,-0.034621093,0.024501082
1146844733766,0.738543972,0.05486112,-0.06231797,0.03568636
1146864813960,0.758624166,0.0010652645,-0.04474111,0.05219796
1146884863635,0.778673841,-0.03781689,-0.032490566,0.042077947
1146904882794,0.798693,-0.029827405,-0.017044231,0.027696876
1146924901953,0.818712159,-0.017576864,0.0010652645,0.0026631611
1146944951629,0.838761835,-0.023435818,-0.04314321,0.02130529
1146964970787,0.858780993,-0.02396845,-0.049534798,-0.002130529
1146984989946,0.878800152,-0.00958738,-0.032490566,0.0037284256
1147005039622,0.898849828,-0.0010652645,0.01917476,0.03355583
1147025089298,0.918899504,0.0127831735,0.056459017,0.00479369
1147045108456,0.938918662,0.019707393,0.06178534,0.0063915867
