time,seconds_elapsed,x,y,z
1146143391835,0.037202041,54.39453,-107.32422,-273.6328
1146163410993,0.057221199,54.589844,-106.83594,-273.73047
1146183460669,0.077270875,54.785156,-106.73828,-273.33984
1146203479828,0.097290034,54.6875,-107.61719,-274.41406
1146223529504,0.11733971,55.17578,-107.51953,-272.65625
1146243579180,0.137389386,54.785156,-106.640625,-272.85156
1146263598338,0.157408544,54.296875,-107.22656,-273.33984
1146283648014,0.17745822,54.589844,-106.73828,-272.85156
1146303667173,0.197477379,54.6875,-106.73828,-273.4375
1146323716849,0.217527055,54.98047,-108.39844,-273.6328
1146343766525,0.237576731,54.882812,-107.8125,-273.04688
1146363785683,0.257595889,54.296875,-107.51953,-273.53516
1146383835359,0.277645565,54.39453,-107.32422,-273.73047
1146403854518,0.297664724,53.808594,-108.30078,-272.94922
1146423904194,0.3177144,53.808594,-107.61719,-272.46094
1146443923352,0.337733558,54.296875,-107.61719,-273.33984
1146463973028,0.357783234,53.90625,-107.91016,-273.14453
1146483992187,0.377802393,53.808594,-107.12891,-273.73047
1146504041863,0.397852069,53.710938,-106.83594,-274.3164
1146524091539,0.417901745,53.90625,-106.93359,-273.92578
1146544141215,0.437951421,53.808594,-106.83594,-273.92578
1146564190891,0.458001097,53.125,-106.15234,-273.82812
1146584301601,0.478111807,53.222656,-105.46875,-274.1211
1146604320759,0.498130965,53.320312,-107.51953,-275.1953
1146624370435,0.518180641,53.61328,-106.44531,-274.21875
1146644389594,0.5381998,53.222656,-106.44531,-274.02344
1146664408752,0.558218958,53.125,-106.34766,-273.73047
1146684458428,0.578268634,53.320312,-106.25,-274.1211
1146704508104,0.59831831,54.19922,-107.51953,-274.02344
1146724527263,0.618337469,54.19922,-108.88672,-273.92578
1146744546421,0.638356627,53.90625,-107.51953,-274.8047
1146764596097,0.658406303,54.6875,-106.34766,-273.6328
1146784615256,0.678425462,53.808594,-107.421875,-273.4375
1146804664932,0.698475138,53.808594,-108.49609,-273.92578
1146824714608,0.718524814,53.808594,-107.61719,-274.70703
1146844733766,0.738543972,53.808594,-106.83594,-273.2422
1146864813960,0.758624166,53.710938,-106.640625,-273.14453
1146884863635,0.778673841,53.515625,-106.93359,-273.6328
1146904882794,0.798693,53.808594,-107.12891,-273.04688
1146924901953,0.818712159,53.90625,-106.93359,-272.94922
1146944951629,0.838761835,54.003906,-107.22656,-273.73047
1146964970787,0.858780993,53.710938,-106.640625,-273.2422
1146984989946,0.878800152,53.41797,-106.73828,-274.60938
1147005039622,0.898849828,53.222656,-106.640625,-273.53516
1147025089298,0.918899504,53.41797,-106.44531,-273.2422
1147045108456,0.938918662,53.808594,-106.15234,-273.73047
1147065158132,0.958968338,53.808594,-107.03125,-273.6328
1147085177291,0.978987497,53.320312,-106.44531,-272.94922
1147105226967,0.999037173,53.125,-107.51953,-273.73047
1147125246125,1.019056331,53.61328,-105.66406,-273.92578
