Filtre,PosRMSE_m,CEP50_m,CEP95_m,PosMax_m,FinalDrift_m,VelRMSE_ms
EKF,0,0,0,0,0,NaN
EKF-SageHusa,0,0,0,0,0,NaN
EKF-StrongTrack,0,0,0,0,0,7.7866832082854
STF,1.14183796531845,0.315870865336063,1.51455612201819,26.3162796966735,1.91780447768485,0.871020658188267
KF,2.10167006178485,0.709144244814231,2.82067627190059,56.1180807246639,2.68711917571812,1.01485055102473
fusionEKF,47.7427119614672,36.4087104662195,83.625419070971,172.542750445921,26.8803604502546,5.16966818023255
SageHusaKF,108.472713263644,55.1852724391685,208.686452312848,248.165576155946,248.165576155946,134.635776742011
imuLoc(DR),13775.4635898577,11723.7578449667,22710.0175707753,23984.487680683,23984.487680683,11.7592254150373
