time,seconds_elapsed,qw,qx,qy,qz
6310359611667,0.038224566,0.9887054,0.10134585,0.0030018394,0.11037155
6310379661367,0.058274266,0.9843864,0.1029683,-0.021410538,-0.14114735
6310399711068,0.078323967,0.9844454,0.10645939,-0.018353818,-0.13855252
6310419730251,0.09834315,0.98340356,0.10737438,-0.016789634,-0.14528044
6310439779952,0.118392851,0.98325074,0.10505392,-0.016347978,-0.14803559
6310459829651,0.13844255,0.9844704,0.10363007,-0.015548372,-0.14084423
6310479879352,0.158492251,0.984807,0.10201883,-0.014997802,-0.13972272
6310499929052,0.178541951,0.98387134,0.101597846,-0.015653882,-0.14639024
6310519978753,0.198591652,0.9819071,0.10104964,-0.017320849,-0.15920891
6310540028453,0.218641352,0.98342264,0.10096194,-0.016936878,-0.14966537
6310560078154,0.238691053,0.9840325,0.10145352,-0.017099937,-0.14524065
6310580127853,0.258740752,0.9824737,0.10081768,-0.018532872,-0.15568517
6310600177554,0.278790453,0.98426497,0.10038808,-0.01809552,-0.14428219
6310620227255,0.298840154,0.98269886,0.10035463,-0.018333549,-0.15458314
6310640276955,0.318889854,0.9834308,0.100540735,-0.017324781,-0.14985093
6310660326656,0.338939555,0.9834135,0.10033216,-0.01739041,-0.15009636
6310680376356,0.358989255,0.98335916,0.099997655,-0.017856639,-0.15062
6310700426056,0.379038955,0.98331505,0.099722154,-0.018190494,-0.15105075
6310720475756,0.399088655,0.9832967,0.09959415,-0.018138165,-0.15126002
6310740494939,0.419107838,0.98325163,0.09959826,-0.018175012,-0.15154614
6310760544640,0.439157539,0.9832186,0.09946562,-0.018671812,-0.1517869
6310780594340,0.459207239,0.9832289,0.098995015,-0.019134313,-0.15196969
6310800644041,0.47925694,0.98321664,0.09866324,-0.019593911,-0.15220626
6310820693741,0.49930664,0.9831644,0.0987737,-0.019970067,-0.1524226
6310840743442,0.519356341,0.9830674,0.099103585,-0.020355051,-0.15278327
6310860793142,0.539406041,0.9829714,0.09937841,-0.020525165,-0.15319945
6310880842842,0.559455741,0.9828481,0.099450245,-0.02058139,-0.15393414
6310900892543,0.579505442,0.9827624,0.099193804,-0.020905513,-0.15460208
6310920911726,0.599524625,0.98270017,0.09882748,-0.0209653,-0.1552229
6310940961426,0.619574325,0.9826217,0.09878545,-0.020928778,-0.15574984
6310961011127,0.639624026,0.9825198,0.09916794,-0.02078122,-0.15616915
6310981060827,0.659673726,0.98239446,0.099594004,-0.020721365,-0.15669365
6311001110528,0.679723427,0.9822092,0.09995954,-0.020686561,-0.15762359
6311021129711,0.69974261,0.9821387,0.100157544,-0.020326748,-0.15798424
6311041179411,0.71979231,0.98211,0.10007599,-0.019717945,-0.15829086
6311061229112,0.739842011,0.98211783,0.09979345,-0.019378386,-0.1584623
6311081278812,0.759891711,0.98209924,0.09966026,-0.019065594,-0.1586997
6311101328512,0.779941411,0.9820496,0.099651925,-0.018866574,-0.15903537
6311121378213,0.799991112,0.9820012,0.09952446,-0.01842416,-0.15946527
6311141458430,0.820071329,0.98196054,0.09929523,-0.017938733,-0.15991306
6311161508130,0.840121029,0.9818858,0.099156834,-0.017222878,-0.16053517
6311181557831,0.86017073,0.981814,0.09891984,-0.016652033,-0.1611794
6311201577014,0.880189913,0.9818086,0.0982011,-0.016089156,-0.16170816
6311221626714,0.900239613,0.981883,0.096968286,-0.015310687,-0.1620759
6311241645897,0.920258796,0.98199725,0.09549505,-0.014535874,-0.16232948
6311261695598,0.940308497,0.9821063,0.09402447,-0.014032392,-0.16257168
6311281745299,0.960358198,0.9822088,0.09290557,-0.013351399,-0.16265376
6311301794999,0.980407898,0.9822289,0.09219929,-0.012710048,-0.16298586
6311321844700,1.000457599,0.9822928,0.09173632,-0.012335316,-0.16289024
6311341894400,1.020507299,0.9823545,0.091277964,-0.012121585,-0.16279133
6311361944100,1.040556999,0.98244,0.09057784,-0.011958033,-0.16267876
6311381993800,1.060606699,0.98257095,0.08976194,-0.011583791,-0.1623671
6311402043501,1.0806564,0.9827257,0.08890607,-0.011313686,-0.16192003
6311422093201,1.1007061,0.98287493,0.088090494,-0.011471857,-0.1614476
6311442142902,1.120755801,0.9830144,0.08745886,-0.012037136,-0.16090032
6311462192602,1.140805501,0.9831163,0.08697437,-0.012935214,-0.16046973
6311482242302,1.160855201,0.9831834,0.08633984,-0.0139194215,-0.16031846
6311502292002,1.180904901,0.9832831,0.085582405,-0.014569634,-0.16005576
6311522341703,1.200954602,0.98339903,0.08519013,-0.014602416,-0.15954925
6311542391404,1.221004303,0.9834892,0.08510074,-0.014603314,-0.15903935
6311562441104,1.241054003,0.98349965,0.08458149,-0.014942717,-0.15922077
6311582490804,1.261103703,0.9834716,0.08359869,-0.015409392,-0.15986745
6311602540504,1.281153403,0.9835836,0.08335742,-0.015644923,-0.15928039
6311622590205,1.301203104,0.98347396,0.08532292,-0.01640715,-0.15883888
6311642639905,1.321252804,0.98340595,0.086985886,-0.017066667,-0.15828721
6311662659088,1.341271987,0.9832495,0.08872937,-0.019570686,-0.15800194
6311682708789,1.361321688,0.9831029,0.08942072,-0.022426514,-0.15814465
6311702758489,1.381371388,0.98316884,0.08857607,-0.023032527,-0.1581228
6311722808190,1.401421089,0.98304385,0.089549236,-0.024130724,-0.15818816
6311742857891,1.42147079,0.9832377,0.08957786,-0.023748089,-0.15702097
6311762907590,1.441520489,0.9836604,0.08766197,-0.022347586,-0.15565434
6311782957291,1.46157019,0.98468405,0.08407167,-0.019270029,-0.15151925
6311803006991,1.48161989,0.98555124,0.0813186,-0.01702451,-0.14760147
6311823056692,1.501669591,0.98608273,0.08205078,-0.018080126,-0.14346287
6311843075875,1.521688774,0.9862167,0.08600835,-0.02064506,-0.13983181
6311863125575,1.541738474,0.9862077,0.089472555,-0.023418859,-0.13726147
6311883175276,1.561788175,0.9862717,0.09081894,-0.025180196,-0.1355957
6311903224976,1.581837875,0.98639256,0.09055681,-0.0255473,-0.1348208
6311923274676,1.601887575,0.9864639,0.08988195,-0.025089495,-0.13483612
6311943324376,1.621937275,0.98640335,0.08979434,-0.023707686,-0.13558541
6311963374077,1.641986976,0.98651004,0.08915115,-0.022021925,-0.1355179
6311983423778,1.662036677,0.986775,0.08872037,-0.019882621,-0.13419583
6312003473478,1.682086377,0.9871151,0.088733144,-0.017387982,-0.1320149
6312023523179,1.702136078,0.9874159,0.090015836,-0.017498285,-0.12884422
6312043572878,1.722185777,0.987526,0.09318501,-0.019720627,-0.12537965
6312063622579,1.742235478,0.98754615,0.09638307,-0.022478674,-0.12230156
6312083641762,1.762254661,0.98772424,0.096577734,-0.024425475,-0.12032065
6312103691462,1.782304361,0.9881122,0.09398021,-0.024183318,-0.119235724
6312123741163,1.802354062,0.9884863,0.09138431,-0.023591531,-0.1182676
6312143790863,1.822403762,0.9886258,0.09116745,-0.022696503,-0.11744134
6312163840564,1.842453463,0.9886102,0.09287601,-0.021414561,-0.11647014
6312183890265,1.862503164,0.9885744,0.09467704,-0.01972513,-0.11561991
6312203939964,1.882552863,0.98830044,0.09821929,-0.01773272,-0.11532935
6312223989665,1.902602564,0.98800516,0.101162024,-0.015866335,-0.11558717
