time,seconds_elapsed,x,y,z
6310339561966,0.018174865,-10.839844,26.855469,-41.796875
6310359611667,0.038224566,-11.035156,27.734375,-41.992188
6310379661367,0.058274266,-10.644531,27.148438,-42.67578
6310399711068,0.078323967,-10.839844,26.660156,-42.48047
6310419730251,0.09834315,-10.7421875,25.976562,-42.871094
6310439779952,0.118392851,-10.449219,27.148438,-42.773438
6310459829651,0.13844255,-10.546875,28.027344,-42.1875
6310479879352,0.158492251,-10.449219,25.78125,-43.652344
6310499929052,0.178541951,-10.449219,22.949219,-42.96875
6310519978753,0.198591652,-10.3515625,24.902344,-42.1875
6310540028453,0.218641352,-9.863281,23.925781,-43.359375
6310560078154,0.238691053,-10.253906,22.753906,-42.871094
6310580127853,0.258740752,-9.667969,23.339844,-42.871094
6310600177554,0.278790453,-10.546875,23.535156,-43.554688
6310620227255,0.298840154,-9.863281,22.65625,-43.26172
6310640276955,0.318889854,-10.3515625,22.753906,-42.578125
6310660326656,0.338939555,-10.449219,22.558594,-42.871094
6310680376356,0.358989255,-10.3515625,22.460938,-42.773438
6310700426056,0.379038955,-10.15625,22.558594,-42.96875
6310720475756,0.399088655,-10.3515625,21.972656,-43.26172
6310740494939,0.419107838,-9.9609375,22.558594,-43.164062
6310760544640,0.439157539,-10.15625,22.460938,-43.164062
6310780594340,0.459207239,-10.3515625,22.167969,-42.773438
6310800644041,0.47925694,-10.15625,22.265625,-43.164062
6310820693741,0.49930664,-10.3515625,21.875,-42.578125
6310840743442,0.519356341,-10.3515625,22.460938,-43.359375
6310860793142,0.539406041,-10.7421875,22.363281,-43.652344
6310880842842,0.559455741,-10.3515625,22.070312,-43.26172
6310900892543,0.579505442,-10.546875,22.851562,-43.652344
6310920911726,0.599524625,-10.253906,22.167969,-42.96875
6310940961426,0.619574325,-10.15625,22.070312,-43.945312
6310961011127,0.639624026,-10.839844,23.046875,-43.066406
6310981060827,0.659673726,-11.230469,22.265625,-42.285156
6311001110528,0.679723427,-10.3515625,22.949219,-43.45703
6311021129711,0.69974261,-10.546875,22.265625,-42.96875
6311041179411,0.71979231,-10.546875,22.167969,-43.26172
6311061229112,0.739842011,-10.7421875,22.265625,-43.26172
6311081278812,0.759891711,-10.253906,22.265625,-43.164062
6311101328512,0.779941411,-10.546875,22.070312,-43.359375
6311121378213,0.799991112,-10.15625,22.363281,-42.96875
6311141458430,0.820071329,-10.3515625,22.753906,-42.382812
6311161508130,0.840121029,-10.546875,23.046875,-42.578125
6311181557831,0.86017073,-10.546875,22.65625,-42.285156
6311201577014,0.880189913,-10.449219,23.046875,-42.089844
6311221626714,0.900239613,-10.253906,22.753906,-42.67578
6311241645897,0.920258796,-10.15625,22.167969,-41.89453
6311261695598,0.940308497,-10.253906,22.949219,-42.578125
6311281745299,0.960358198,-11.1328125,23.144531,-42.089844
6311301794999,0.980407898,-10.546875,23.046875,-42.578125
6311321844700,1.000457599,-10.644531,23.632812,-41.796875
6311341894400,1.020507299,-10.546875,23.242188,-42.285156
6311361944100,1.040556999,-10.15625,23.046875,-41.992188
6311381993800,1.060606699,-10.3515625,23.046875,-42.67578
6311402043501,1.0806564,-10.449219,23.339844,-43.066406
6311422093201,1.1007061,-10.058594,23.4375,-42.1875
6311442142902,1.120755801,-9.765625,23.632812,-42.089844
6311462192602,1.140805501,-10.546875,23.632812,-42.1875
6311482242302,1.160855201,-10.3515625,23.925781,-42.1875
6311502292002,1.180904901,-10.546875,23.535156,-42.48047
6311522341703,1.200954602,-10.546875,23.4375,-42.578125
6311542391404,1.221004303,-11.328125,23.632812,-41.210938
6311562441104,1.241054003,-12.207031,25.097656,-40.91797
6311582490804,1.261103703,-10.546875,24.414062,-41.69922
6311602540504,1.281153403,-11.5234375,24.902344,-40.429688
6311622590205,1.301203104,-10.9375,24.316406,-41.992188
6311642639905,1.321252804,-10.253906,23.730469,-42.285156
6311662659088,1.341271987,-10.546875,23.730469,-41.796875
6311682708789,1.361321688,-10.546875,24.707031,-41.796875
6311702758489,1.381371388,-10.644531,24.121094,-42.1875
6311722808190,1.401421089,-10.253906,24.609375,-41.796875
6311742857891,1.42147079,-10.546875,24.21875,-41.69922
6311762907590,1.441520489,-9.9609375,24.609375,-42.089844
6311782957291,1.46157019,-9.863281,24.609375,-41.40625
6311803006991,1.48161989,-9.375,24.707031,-41.40625
6311823056692,1.501669591,-9.765625,24.902344,-41.992188
6311843075875,1.521688774,-9.375,24.804688,-41.89453
6311863125575,1.541738474,-9.082031,23.925781,-42.089844
6311883175276,1.561788175,-9.863281,24.511719,-41.69922
6311903224976,1.581837875,-9.9609375,24.316406,-41.503906
6311923274676,1.601887575,-9.9609375,24.804688,-41.015625
6311943324376,1.621937275,-10.15625,24.902344,-41.992188
6311963374077,1.641986976,-9.667969,25.292969,-41.796875
6311983423778,1.662036677,-9.472656,25.585938,-41.992188
6312003473478,1.682086377,-8.984375,25.097656,-42.67578
6312023523179,1.702136078,-8.7890625,25.292969,-42.578125
6312043572878,1.722185777,-9.082031,25.488281,-42.578125
6312063622579,1.742235478,-8.984375,25.097656,-42.773438
6312083641762,1.762254661,-9.082031,25.195312,-42.773438
6312103691462,1.782304361,-8.886719,24.707031,-42.1875
6312123741163,1.802354062,-8.886719,26.367188,-42.1875
6312143790863,1.822403762,-9.277344,26.074219,-41.503906
6312163840564,1.842453463,-8.691406,26.367188,-41.503906
6312183890265,1.862503164,-8.691406,25.683594,-41.69922
6312203939964,1.882552863,-8.3984375,25.878906,-41.503906
6312223989665,1.902602564,-8.3984375,25.0,-42.285156
6312244039365,1.922652264,-9.375,26.464844,-41.11328
6312264089066,1.942701965,-10.253906,26.5625,-40.91797
6312284108249,1.962721148,-8.886719,25.390625,-42.48047
6312304157949,1.982770848,-9.277344,25.390625,-41.40625
6312324207650,2.002820549,-9.1796875,25.097656,-41.601562
6312344287867,2.022900766,-9.1796875,25.488281,-41.89453
6312364337567,2.042950466,-9.472656,25.488281,-41.015625
6312384387268,2.063000167,-9.375,25.292969,-41.796875
6312404406451,2.08301935,-9.667969,25.292969,-40.820312
6312424456152,2.103069051,-9.9609375,25.488281,-41.89453
6312444505852,2.123118751,-10.253906,25.976562,-41.210938
6312464555553,2.143168452,-10.546875,26.367188,-41.308594
6312484605252,2.163218151,-10.7421875,26.5625,-40.625
6312504654953,2.183267852,-10.15625,26.757812,-39.648438
6312524704653,2.203317552,-10.449219,26.269531,-40.527344
6312544754354,2.223367253,-10.7421875,25.976562,-40.527344
6312564773537,2.243386436,-12.011719,26.757812,-39.160156
6312584823237,2.263436136,-11.425781,27.148438,-39.160156
6312604872938,2.283485837,-11.035156,27.441406,-39.746094
6312624922638,2.303535537,-11.816406,28.027344,-38.476562
6312644972338,2.323585237,-11.816406,27.832031,-39.648438
6312665022039,2.343634938,-11.71875,27.246094,-38.476562
6312685071739,2.363684638,-10.7421875,26.660156,-39.746094
6312705121440,2.383734339,-10.9375,27.539062,-40.234375
6312725140623,2.403753522,-11.035156,26.757812,-40.820312
6312745190323,2.423803222,-11.621094,26.757812,-40.820312
6312765240024,2.443852923,-11.71875,25.878906,-41.11328
6312785289724,2.463902623,-11.816406,25.488281,-41.015625
6312805339425,2.483952324,-12.597656,26.171875,-41.210938
6312825389124,2.504002023,-12.988281,25.878906,-40.13672
6312845469342,2.524082241,-13.28125,25.878906,-40.429688
6312865519043,2.544131942,-12.890625,25.488281,-41.69922
6312885538226,2.564151125,-12.988281,24.902344,-41.308594
6312905587927,2.584200826,-12.988281,25.878906,-41.796875
6312925637626,2.604250525,-13.0859375,24.511719,-42.089844
6312945717844,2.624330743,-12.988281,25.097656,-42.285156
6312965767545,2.644380444,-12.792969,24.414062,-41.992188
6312985817245,2.664430144,-13.183594,24.511719,-42.089844
6313005866945,2.684479844,-13.28125,24.609375,-41.503906
6313025916645,2.704529544,-13.183594,25.878906,-41.69922
6313045966346,2.724579245,-13.28125,25.585938,-41.69922
6313066016046,2.744628945,-13.574219,26.5625,-41.503906
6313086065747,2.764678646,-14.0625,26.757812,-41.210938
6313106115448,2.784728347,-14.550781,26.953125,-41.11328
6313126134631,2.80474753,-15.4296875,28.320312,-41.015625
6313146184331,2.82479723,-15.332031,29.199219,-40.13672
6313166234031,2.84484693,-15.917969,28.125,-39.84375
6313186314249,2.864927148,-15.917969,29.199219,-40.234375
6313206424983,2.885037882,-16.601562,28.808594,-40.625
6313226444166,2.905057065,-16.015625,28.417969,-40.91797
6313246493867,2.925106766,-16.308594,29.492188,-41.015625
6313266543567,2.945156466,-16.113281,29.003906,-41.40625
6313286593268,2.965206167,-16.113281,28.320312,-41.40625
6313306642967,2.985255866,-15.722656,27.929688,-42.382812
6313326723185,3.005336084,-14.941406,29.101562,-41.601562
6313346772886,3.025385785,-15.625,28.613281,-41.89453
6313366822585,3.045435484,-15.8203125,28.320312,-41.992188
6313386872286,3.065485185,-15.722656,28.808594,-41.796875
6313406921987,3.085534886,-15.722656,28.320312,-41.992188
6313426971687,3.105584586,-15.722656,27.441406,-42.285156
6313447051904,3.125664803,-16.503906,27.539062,-42.089844
6313467101605,3.145714504,-15.917969,27.929688,-42.96875
6313487151305,3.165764204,-16.113281,27.832031,-42.089844
6313507201006,3.185813905,-16.503906,26.757812,-42.67578
6313527250706,3.205863605,-16.308594,27.441406,-41.89453
6313547300406,3.225913305,-16.503906,28.027344,-41.601562
6313567350106,3.245963005,-16.308594,27.441406,-43.164062
6313587399807,3.266012706,-16.015625,27.539062,-41.992188
6313607449507,3.286062406,-16.015625,26.855469,-42.089844
6313627499208,3.306112107,-16.601562,28.808594,-42.285156
6313647548909,3.326161808,-15.917969,27.832031,-42.285156
6313667598608,3.346211507,-15.234375,26.660156,-42.67578
6313687648309,3.366261208,-15.527344,27.734375,-41.601562
6313707698009,3.386310908,-16.015625,28.417969,-42.96875
6313727747710,3.406360609,-15.136719,26.464844,-43.359375
6313747797410,3.426410309,-15.917969,28.710938,-42.1875
6313767847111,3.44646001,-16.113281,28.710938,-42.1875
6313787896810,3.466509709,-15.917969,28.613281,-42.382812
6313807946511,3.48655941,-15.8203125,28.027344,-42.1875
6313827996211,3.50660911,-16.210938,28.320312,-41.503906
6313848045912,3.526658811,-16.113281,28.222656,-41.796875
6313868095613,3.546708512,-17.089844,26.953125,-41.11328
6313888145313,3.566758212,-17.1875,27.539062,-41.015625
6313908195013,3.586807912,-17.773438,27.929688,-41.210938
6313928244713,3.606857612,-18.164062,27.050781,-41.601562
6313948294414,3.626907313,-17.773438,27.050781,-40.722656
6313968344114,3.646957013,-18.066406,27.246094,-41.015625
6313988393815,3.667006714,-18.359375,27.246094,-41.210938
6314008443515,3.687056414,-17.675781,27.441406,-40.91797
6314028493215,3.707106114,-17.871094,28.320312,-40.039062
6314048542915,3.727155814,-17.773438,28.027344,-40.527344
6314068592616,3.747205515,-18.066406,28.613281,-39.941406
6314088642316,3.767255215,-18.164062,28.320312,-40.039062
6314108692017,3.787304916,-18.261719,28.808594,-40.429688
6314128741717,3.807354616,-18.066406,29.101562,-39.453125
6314148760901,3.8273738,-17.96875,28.417969,-39.648438
6314168810601,3.8474235,-18.066406,29.492188,-39.84375
6314188829784,3.867442683,-18.359375,28.125,-40.234375
6314208879485,3.887492384,-17.773438,28.515625,-40.429688
6314228929184,3.907542083,-17.675781,27.246094,-40.91797
6314248978885,3.927591784,-17.96875,27.832031,-40.527344
6314269028585,3.947641484,-17.773438,28.222656,-40.527344
6314289078286,3.967691185,-17.578125,27.734375,-41.40625
6314309127986,3.987740885,-17.480469,27.34375,-41.40625
6314329177687,4.007790586,-17.089844,27.636719,-40.91797
6314349227387,4.027840286,-17.675781,27.148438,-41.015625
6314369277087,4.047889986,-17.285156,26.171875,-41.308594
6314389326788,4.067939687,-17.675781,26.855469,-41.40625
6314409345971,4.08795887,-17.578125,26.953125,-41.015625
6314429395671,4.10800857,-17.773438,27.050781,-40.91797
6314449445372,4.128058271,-17.1875,26.074219,-41.015625
6314469495072,4.148107971,-17.578125,26.464844,-40.820312
6314489544773,4.168157672,-18.066406,25.585938,-41.796875
6314509594472,4.188207371,-17.480469,25.585938,-41.503906
6314529644173,4.208257072,-17.96875,25.683594,-41.601562
6314549693874,4.228306773,-17.96875,25.195312,-41.40625
6314569743574,4.248356473,-18.066406,25.78125,-40.91797
6314589793275,4.268406174,-18.359375,26.171875,-41.015625
6314609812458,4.288425357,-18.75,26.464844,-41.308594
6314629862158,4.308475057,-18.75,27.34375,-40.234375
6314649911859,4.328524758,-17.871094,25.683594,-40.820312
6314669961559,4.348574458,-17.675781,26.074219,-41.308594
6314690011259,4.368624158,-16.796875,27.441406,-40.722656
6314710060959,4.388673858,-17.1875,27.539062,-41.015625
6314730110660,4.408723559,-17.285156,27.34375,-40.039062
6314750160360,4.428773259,-17.871094,26.464844,-41.11328
6314770210061,4.44882296,-17.382812,26.269531,-40.527344
6314790229244,4.468842143,-16.894531,26.464844,-41.89453
6314810278945,4.488891844,-16.503906,25.976562,-41.992188
6314830328645,4.508941544,-16.699219,25.878906,-41.89453
