time,seconds_elapsed,qw,qx,qy,qz
5447271397345,0.040891512,0.9933673,0.04536183,-0.0017648964,0.105644636
5447291447027,0.060941194,0.99361265,0.040038154,0.0040791985,0.10542447
5447311527228,0.081021395,0.9940344,0.027444942,9.985431E-4,0.10555274
5447331576911,0.101071078,0.99426425,0.017150184,0.00211091,0.10554708
5447351596077,0.121090244,0.9943125,0.012749087,5.012992E-4,0.10573446
5447371645760,0.141139927,0.9943119,0.014452467,0.0018665073,0.10550664
5447391756477,0.161250644,0.9943031,0.015927382,0.0039596027,0.10531871
5447411806159,0.181300326,0.99433964,0.012664545,0.0020447564,0.105470665
5447431825326,0.201319493,0.99437064,0.008652548,0.0016054021,0.1055925
5447451875009,0.221369176,0.99435645,0.008992338,0.0015869315,0.10569751
5447471924691,0.241418858,0.9943512,0.010988452,0.002305254,0.105544545
5447491943858,0.261438025,0.99435663,0.010680539,0.0014747627,0.105540305
5447511993540,0.281487707,0.99436533,0.008355347,9.7552274E-4,0.10567329
5447532043223,0.30153739,0.99436337,0.00824233,0.0013732554,0.1056958
5447552062390,0.321556557,0.99436486,0.009325726,0.0016087085,0.105588995
5447572112072,0.341606239,0.9943636,0.009517854,0.0016300622,0.10558338
5447592131238,0.361625405,0.99436325,0.008723338,0.0014268495,0.105657876
5447612180921,0.381675088,0.9943638,0.00872164,0.0014428002,0.10565271
5447632200087,0.401694254,0.9943642,0.009280692,0.0015974132,0.10559954
5447652249770,0.421743937,0.9943633,0.009138163,0.0015782245,0.105620906
5447672299453,0.44179362,0.9943621,0.008768412,0.0015130593,0.105663694
5447692318619,0.461812786,0.9943622,0.009007457,0.0015899147,0.105642475
5447712368301,0.481862468,0.9943631,0.00920729,0.0016415789,0.105615854
5447732417985,0.501912152,0.99436265,0.008949425,0.0015924618,0.10564262
5447752437150,0.521931317,0.9943625,0.008900697,0.0015997348,0.105648085
5447772486833,0.541981,0.99436194,0.009134736,0.0016704183,0.105632156
5447792536516,0.562030683,0.99436194,0.009070411,0.0016760956,0.105637655
5447812586200,0.582080367,0.9943614,0.008949449,0.0016523581,0.10565369
5447832635883,0.60213005,0.9943613,0.009079537,0.0016895992,0.10564303
5447852685566,0.622179733,0.99436015,0.00913754,0.0017031857,0.105648264
5447872704732,0.642198899,0.9943607,0.009021537,0.0016865784,0.10565372
5447892754415,0.662248582,0.9943609,0.009051509,0.0017136008,0.10564853
5447912804098,0.682298265,0.99436134,0.009125001,0.0017410836,0.1056379
5447932823264,0.702317431,0.99436194,0.009061852,0.0017290054,0.10563796
5447952872947,0.722367114,0.99436307,0.00906065,0.001735788,0.10562739
5447972922629,0.742416796,0.9943635,0.009122089,0.0017638904,0.10561684
5447992972312,0.762466479,0.99436265,0.0090891225,0.0017710282,0.10562761
5448012991479,0.782485646,0.99436235,0.009056712,0.001772905,0.10563303
5448033041161,0.802535328,0.9943629,0.009118619,0.0017956637,0.105622455
5448053090844,0.822585011,0.9943623,0.009121078,0.0018034958,0.10562778
5448073140527,0.842634694,0.99436164,0.009065127,0.0018045183,0.105638534
5448093190210,0.862684377,0.99436176,0.00911121,0.0018255716,0.10563328
5448113239893,0.88273406,0.99436146,0.009134937,0.001854939,0.105633475
5448133289575,0.902783742,0.99436086,0.009075425,0.001859256,0.1056443
5448153339259,0.922833426,0.9943602,0.009085489,0.0018656452,0.105649635
5448173358425,0.942852592,0.9943597,0.009137944,0.0018894597,0.10564966
5448193408107,0.962902274,0.9943594,0.009111447,0.0018865947,0.10565501
5448213457791,0.982951958,0.99435914,0.009074291,0.001882597,0.10566039
5448233507474,1.003001641,0.99435955,0.009136855,0.0019000827,0.10564973
5448253557157,1.023051324,0.99436,0.009156955,0.0019130071,0.105644494
5448273576322,1.043070489,0.9943599,0.00910918,0.0019078813,0.105649896
5448293626006,1.063120173,0.99436074,0.0091245,0.0019149694,0.105639294
5448313706205,1.083200372,0.9943617,0.009154645,0.0019343798,0.10562877
