time,seconds_elapsed,latitude,longitude,altitude,horizontalAccuracy,speed,bearing,speedAccuracy,bearingAccuracy
1780133059000,47.544071927,41.04051802307367,28.766888910904527,118.0,130.0,5.5299997,155.4,1.26,52.3
1780133060000,48.544300773,41.04018551297486,28.767384281381965,84.0,130.0,2.74,162.7,1.26,58.0
1780133061000,49.542654349,41.040560309775174,28.76669319346547,-1.0,129.0,2.05,170.0,1.26,64.7
1780133062000,50.538151733,41.0406142892316,28.7665500305593,100.0,129.0,1.9,177.3,1.26,72.1
1780133063000,51.542005001,41.04033261537552,28.766992008313537,108.0,129.0,25.699999,161.4,2.15,34.3
1780133064000,52.541775885,41.04020814411342,28.76684063114226,62.0,129.0,22.88,162.9,2.15,28.8
1780133065000,53.535143577,41.04054631199688,28.766389098018408,36.0,129.0,20.67,164.8,2.15,27.4
1780133066000,54.542347961,41.04056391399354,28.76636764034629,26.0,127.0,20.21,166.5,2.15,27.1
1780133067000,55.542696652,41.041020434349775,28.76593085937202,-28.0,125.5,8.32,207.8,1.26,27.4
1780133068000,56.547060959,41.040403274819255,28.766676094383,37.0,125.5,11.95,255.7,1.26,24.4
1780133069000,57.532934536,41.040563746355474,28.766709957271814,50.0,99.0,9.565,277.6,1.48,27.3
1780133070000,58.522576804,41.040408220142126,28.766947919502854,82.0,96.0,6.23,298.0,3.52,18.0
1780133072000,60.54281938,41.040420667268336,28.766907770186663,109.0,93.0,4.5899997,316.8,3.31,16.4
1780133073000,61.541882802,41.040401766076684,28.766931742429733,104.0,84.5,4.0099998,326.0,3.22,17.8
1780133074000,62.546864186,41.040380015037954,28.766958061605692,104.0,82.5,3.9399998,329.2,2.88,18.1
1780133075000,63.53790157,41.04041366837919,28.766895784065127,99.0,83.0,4.61,325.1,2.52,15.9
1780133076000,64.547010877,41.04041463229805,28.766896035522223,100.0,78.5,4.33,321.9,2.13,14.2
1780133077000,65.542118376,41.04043529368937,28.76684415154159,102.0,79.0,4.5899997,317.7,1.91,12.3
1780133078000,66.529878183,41.040421673096716,28.766852030530572,99.0,75.0,3.87,315.0,2.32,13.4
1780133079000,67.541064913,41.04043055791408,28.766828812658787,99.0,75.0,3.6599998,311.7,1.95,13.5
1780133080000,68.544756951,41.04043051600456,28.766813557595015,99.0,74.5,3.32,307.7,1.77,13.5
1780133081000,69.54813695,41.04041668586433,28.766828728839755,99.0,73.5,2.48,304.6,1.62,14.5
1780133082000,70.543889988,41.04038998950273,28.76685186289251,99.0,75.0,1.7199999,300.3,1.5,16.5
1780133083000,71.543386449,41.04037184268236,28.766856137663126,99.0,75.0,1.4,294.3,1.43,18.6
1780133084000,72.54569164,41.0403542406857,28.766872733831406,108.0,74.0,1.4699999,287.6,1.36,19.3
1780133085000,73.539965563,41.04036945383996,28.76683979295194,106.0,73.0,1.56,284.6,1.31,19.1
1780133086000,74.544565677,41.04037238750607,28.766822945326567,105.0,74.5,1.4499999,281.8,1.92,21.4
1780133087000,75.549449176,41.04038600809872,28.766801906749606,105.0,75.0,1.25,285.2,1.82,24.3
1780133088000,76.524333714,41.040403568185866,28.76678405329585,104.0,76.0,1.52,295.4,1.67,24.9
1780133089000,77.519265637,41.04041949380189,28.766760164871812,104.0,71.5,2.4199998,306.6,1.66,20.3
1780133090000,78.53685529,41.04040029924363,28.76678748987615,104.0,69.0,1.53,313.1,1.82,22.4
1780133091000,79.539862251,41.040376871824265,28.766849683597684,104.0,68.0,0.91999996,318.0,2.01,26.5
1780133092000,80.535117711,41.040388313122094,28.766840379685163,104.0,66.5,1.1899999,325.5,1.64,28.3
1780133093000,81.550314788,41.040380517952144,28.766855467110872,105.0,70.0,1.9,325.5,1.68,24.8
1780133094000,82.550945364,41.04038248769939,28.766847420483828,106.0,66.0,2.4199998,318.3,1.79,20.8
1780133095000,83.543858594,41.04038290679455,28.766860915347934,111.0,64.0,2.32,322.2,1.87,20.1
1780133096000,84.542462324,41.040410357527435,28.766847923398018,110.0,60.5,1.6899999,325.9,1.86,21.8
1780133097000,85.529166631,41.040407926775515,28.766861418262124,107.0,64.5,1.3,330.6,2.2,25.0
