time,seconds_elapsed,latitude,longitude,altitude,horizontalAccuracy,speed,bearing,speedAccuracy,bearingAccuracy
1780133032000,20.5352531,41.0393121605739,28.767922231927514,31.0,104.0,0.69,0.0,1.7,180.0
1780133033000,21.531045061,41.04146098718047,28.766390271484852,-214.0,101.5,11.0199995,316.7,1.71,58.3
1780133034000,22.534082484,41.04036727454513,28.767748894169927,19.0,103.0,7.85,313.7,1.71,52.2
1780133035000,23.541228098,41.04153093416244,28.76705126836896,-80.0,103.0,7.18,313.2,1.71,53.0
1780133036000,24.537220251,41.04048231616616,28.767360309138894,-8.0,103.5,5.2599998,310.2,1.31,66.4
1780133037000,25.541172481,41.040271134115756,28.767661470919847,34.0,104.0,5.14,311.6,1.71,70.3
1780133038000,26.542710558,41.03994549717754,28.76858599483967,134.0,104.0,3.84,309.6,1.71,85.2
1780133039000,27.544723172,41.03996615856886,28.76829723827541,182.0,153.0,3.46,357.1,1.54,79.7
1780133040000,28.523117556,41.04010274168104,28.767783595249057,90.0,155.5,2.57,3.0,1.54,93.0
1780133041000,29.535089594,41.039584362879395,28.767115138471127,75.0,152.0,3.22,8.9,1.54,106.9
1780133042000,30.54673767,41.04008815716952,28.767070127651095,38.0,137.0,1.5,14.8,1.47,121.3
1780133043000,31.544079323,41.039788546040654,28.76760338433087,87.0,140.0,2.6599998,20.7,1.47,136.2
1780133044000,32.531526284,41.03983833454549,28.76762744039297,37.0,138.5,1.4399999,26.6,1.47,151.3
1780133045000,33.538788745,41.039842860773206,28.767188312485814,135.0,130.0,3.32,32.5,1.3,166.8
1780133046000,34.546049014,41.040339027531445,28.767139362171292,139.0,132.0,1.17,38.4,1.34,180.0
1780133047000,35.545156782,41.03974659461528,28.767616460099816,214.0,129.0,3.4399998,30.5,1.3,132.2
1780133048000,36.531821666,41.039072941057384,28.7684565782547,336.0,129.0,4.8399997,11.6,1.3,96.3
1780133049000,37.547369742,41.040797643363476,28.766506863757968,114.0,123.0,4.18,66.3,1.26,69.8
1780133050000,38.546152241,41.040900028310716,28.766589425504208,8.0,125.0,2.28,78.8,1.26,69.2
1780133051000,39.547001818,41.040813024155796,28.766568806022406,58.0,125.0,3.46,96.4,1.26,65.9
1780133052000,40.538861048,41.04093640577048,28.766451543197036,-5.0,126.0,3.72,111.8,1.26,63.4
1780133053000,41.538856393,41.040879911743104,28.766487585380673,-28.0,126.5,2.51,120.7,1.26,69.6
1780133054000,42.545081315,41.04067304637283,28.766713393852115,16.0,126.5,0.77,129.6,1.26,76.6
1780133055000,43.542405622,41.040742406621575,28.766524381935596,110.0,126.5,1.4399999,138.5,1.26,84.3
1780133056000,44.537407353,41.04061064310372,28.76664382405579,112.0,126.5,2.87,147.4,1.26,92.7
1780133057000,45.540200736,41.04061994701624,28.766819508746266,74.0,126.5,5.39,152.5,1.26,71.4
1780133058000,46.520281351,41.040785405784845,28.766536116600037,36.0,126.5,6.2999997,153.1,1.26,57.1
