time,seconds_elapsed,latitude,longitude,altitude,horizontalAccuracy,speed,bearing,speedAccuracy,bearingAccuracy
1780133120509,1.685383806,41.04019992984831,28.767188312485814,93.0,21.0,0.88,0.0,0.71,180.0
1780133122000,3.183689151,41.040095994248986,28.767250925302505,87.0,18.0,1.17,0.0,0.61,180.0
1780133123000,4.181176035,41.04004570282996,28.767263749614358,85.0,10.0,1.13,0.0,0.33,180.0
1780133124000,5.189790919,41.04004763066769,28.767294008284807,86.0,9.0,1.2099999,0.0,0.33,180.0
1780133125000,6.190997072,41.04003413580358,28.767278334125876,87.0,8.5,1.1999999,220.5,0.32,8.3
1780133126000,7.191765495,41.040017288178205,28.76728336326778,85.0,8.0,1.3,208.6,0.37,8.8
1780133127000,8.186644302,41.04001431260258,28.767270036041737,87.0,7.5,1.1999999,214.2,0.36,8.4
1780133128000,9.193529993,41.040015779435635,28.767257630825043,84.0,6.5,1.18,206.6,0.43,8.9
1780133129000,10.1771588,41.040018796920776,28.76724388450384,84.0,6.0,1.0799999,205.8,0.33,8.0
1780133130000,11.179023876,41.04001561179757,28.767232401296496,84.0,5.5,1.0,212.5,0.5,9.3
1780133131000,12.199828568,41.040016072802246,28.767210775986314,85.0,5.0,1.02,214.6,0.28,7.0
1780133132000,13.186352029,41.03999444749206,28.76722670160234,85.0,4.5,0.81,214.8,0.41,8.9
1780133133000,14.19891099,41.03998149745166,28.76723349094391,84.0,5.0,0.61,207.1,0.52,12.0
