time,seconds_elapsed,x,y,z
5554638602424,0.033877937,0.0013810098,-2.503395E-5,0.005126953
5554658682624,0.053958137,0.04211873,-0.07893193,0.19447422
5554678762825,0.074038338,0.17778848,-0.14645696,0.19928074
5554698812508,0.094088021,0.08799262,-0.09768033,0.020701408
5554718892707,0.11416822,0.059639424,-0.07419562,-0.11449051
5554738942390,0.134217903,0.055601224,-0.0536505,-0.040888786
5554758961556,0.154237069,0.059307337,-0.11397302,0.06513405
5554779011239,0.174286752,0.21995106,-0.123256564,0.102617264
5554799060922,0.194336435,-0.042210177,0.008299708,0.11933231
5554819110606,0.214386119,-0.07523307,0.05747342,0.1741085
5554839160288,0.234435801,-0.0328532,0.06698346,0.10972595
5554859179454,0.254454967,0.0188874,0.039923668,0.18209934
5554879229137,0.27450465,0.16509363,0.033239484,0.07932472
5554899278820,0.294554333,0.061927922,0.07522297,0.21066093
5554919328503,0.314604016,-0.072117716,0.10624063,0.42899704
5554939378186,0.334653699,-0.047872767,0.08177519,0.34194756
5554959427869,0.354703382,-0.15207925,0.080934525,0.09821606
5554979477552,0.374753065,-0.29329696,0.087664366,-0.09014511
5554999527235,0.394802748,-0.1182307,0.099530816,0.04360962
5555019576917,0.41485243,0.012767695,0.004679799,0.3650589
5555039596084,0.434871597,-0.03664562,-0.008205771,0.4733715
5555059645766,0.454921279,-0.075061955,-0.012844682,0.39160538
5555079695449,0.474970962,-0.04550732,-0.027083516,0.043279648
5555099745132,0.495020645,-0.0886708,0.025802612,-0.019814491
5555119794816,0.515070329,-0.07209892,0.016945481,0.17672348
5555139844499,0.535120012,0.017175741,0.011632204,0.23085785
5555159894182,0.555169695,-0.025589786,-0.02722311,0.110533714
5555179943864,0.575219377,-0.090607546,-0.013853431,-0.0066576004
5555199993547,0.59526906,-0.145064,0.03420794,0.008049965
5555220043230,0.615318743,-0.12743652,0.13794565,0.015137672
5555240092913,0.635368426,-0.14184946,0.13317597,0.10516167
5555260112079,0.655387592,-0.08332637,0.09089434,0.19029427
5555280161762,0.675437275,5.398467E-4,0.031752706,0.14677429
5555300211445,0.695486958,-0.05823011,0.032289386,0.08237171
5555320261129,0.715536642,-0.10755656,0.074952245,0.0058345795
5555340310811,0.735586324,-0.18902966,0.15879428,0.039078712
5555360329977,0.75560549,-0.17529476,0.13101089,0.019536018
5555380379660,0.775655173,-0.068319716,0.09684312,0.12644958
5555400429343,0.795704856,0.01153063,0.12639129,0.32625484
5555420479026,0.815754539,-0.14547212,0.17884433,0.29876995
5555440528709,0.835804222,-0.23444773,0.2871257,0.2029705
5555460578392,0.855853905,-0.28190303,0.31365013,0.10368252
5555480628075,0.875903588,-0.11680806,0.24711609,0.2102499
5555500647241,0.895922754,-0.11439729,0.2549615,0.18475628
5555520696924,0.915972437,-0.10454954,0.24223387,0.14024448
5555540746607,0.93602212,-0.113600746,0.23762381,0.05555725
5555560796289,0.956071802,-0.2113162,0.24976516,0.043380737
5555580845972,0.976121485,-0.036891654,0.2855184,-0.118935585
5555600895656,0.996171169,0.024043843,0.35227442,-0.23503399
5555620945339,1.016220852,0.067922086,0.34104276,-0.10971165
5555640995022,1.036270535,0.08654298,0.32581663,0.21290016
5555661044705,1.056320218,-0.040089145,0.34718823,0.4695015
5555681094387,1.0763699,-0.12161189,0.35082805,0.47542477
5555701144070,1.096419583,-0.085852504,0.34904873,0.22455215
5555721193753,1.116469266,0.2383878,0.37940216,0.061100006
5555741212919,1.136488432,0.30182958,0.49208224,-0.10606766
5555761262602,1.156538115,0.3780047,0.521103,-0.1682291
5555781312285,1.176587798,0.28332356,0.32425964,-0.1999569
5555801361968,1.196637481,0.38539094,0.17079031,0.09501362
5555821411652,1.216687165,0.49586606,0.14197123,0.48875237
5555841461334,1.236736847,0.41388375,0.27744305,0.60103035
5555861511017,1.25678653,0.22757216,0.46046627,0.38131332
5555881560700,1.276836213,0.14653897,0.61873364,-0.2055273
5555901610383,1.296885896,0.12762256,0.7522526,-0.6173172
5555921660066,1.316935579,0.161701,0.7804421,-0.80792046
5555941709749,1.336985262,0.3702458,0.6479105,-0.7210932
5555961759432,1.357034945,0.29913384,0.5861535,-0.12236595
5555981809115,1.377084628,0.17937772,0.6204175,0.20294952
